"";"Muster";"Summiertes Fondsvolumen (in Mio. Euro)";"Anzahl Fonds"
"1";"00000000000000000";396990;243
"2";"10101000011000000";318337;19
"3";"00000000000010001";19325;11
"4";"00000000000001000";16110;10
"5";"00000000000000010";13895;8
"6";"00010101100100110";18412;7
"7";"01000000000000000";8586;7
"8";"01000000000001000";86807;6
"9";"00010101100100100";10551;5
"10";"10111101111110111";25701;5
"11";"00000000000000100";389;4
"12";"00000001100100000";14553;4
"13";"00001000001000000";561;4
"14";"00010101100110111";112255;4
"15";"00000000001000000";909;3
"16";"00000001000000000";566;3
"17";"00000100100000000";1230;3
"18";"00001000010000000";28411;3
"19";"00010000000000100";8573;3
"20";"10000000011000000";9734;3
"21";"10100000000000000";38853;3
"22";"10100000001000000";1097;3
"23";"00000000000100000";780;2
"24";"00000001000100000";768;2
"25";"00000100000000000";660;2
"26";"00000101100010101";2017;2
"27";"00010000000000010";1526;2
"28";"00010001000100010";1335;2
"29";"00010100100100000";694;2
"30";"00010100100100010";91;2
"31";"00011100101100010";113;2
"32";"00101000011000000";3944;2
"33";"10001000011000000";16065;2
"34";"10100000010000000";11689;2
"35";"00000000000000001";929;1
"36";"00000000000000101";592;1
"37";"00000000000010000";90;1
"38";"00000000000100010";30;1
"39";"00000000001000001";427;1
"40";"00000000100100000";207;1
"41";"00000001000000010";10892;1
"42";"00000001000100100";229;1
"43";"00000001000100101";174;1
"44";"00000001100000010";3782;1
"45";"00000101100100100";576;1
"46";"00000101100110111";4651;1
"47";"00001000000000000";1422;1
"48";"00010000000000000";3602;1
"49";"00010000000100010";822;1
"50";"00010000100000100";1786;1
"51";"00010001100100110";67;1
"52";"00010101100100000";102;1
"53";"00010101100111111";3509;1
"54";"00011100101000100";111;1
"55";"00100000001000000";4624;1
"56";"00100101111100000";195;1
"57";"01000000001000001";99;1
"58";"01010101100111111";14632;1
"59";"10000000000000000";7841;1
"60";"10000001000000000";5;1
"61";"10000001011100000";1025;1
"62";"10100000000000010";1239;1
"63";"10101000000000000";381;1
"64";"10101000001000000";9;1
"65";"10101000010011001";657;1
"66";"10101001101100000";2927;1
"67";"10111000000100010";73;1
"68";"10111101111100110";128;1
"69";"10111101111110110";194;1
"70";"10111101111111111";687;1
"71";"11111001111111111";9365;1
